ESP 30:ae:a4:3b:a2:d8 -> MAC: c0:ee:fb:28:df:18 | SSID: broadcast | RSSI: -84 | Seq.num: 2057 | Timestamp: 1543478079868 | Hash: 2945655762
ESP 30:ae:a4:3b:a2:d8 -> MAC: d8:68:c3:3f:f7:cf | SSID: broadcast | RSSI: -92 | Seq.num: 997 | Timestamp: 1543478079924 | Hash: 1222323785
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: TP-LINK_BA925E | RSSI: -84 | Seq.num: 2003 | Timestamp: 1543478080198 | Hash: 3901153779
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: .WiFi Station | RSSI: -84 | Seq.num: 2004 | Timestamp: 1543478080203 | Hash: 3213531224
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: dlink | RSSI: -82 | Seq.num: 2005 | Timestamp: 1543478080219 | Hash: 947948116
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: Blizzard_HERO | RSSI: -83 | Seq.num: 2006 | Timestamp: 1543478080234 | Hash: 2116436574
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: Vodafone-34933893 | RSSI: -82 | Seq.num: 2007 | Timestamp: 1543478080249 | Hash: 1199231640
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: WiFi Frecciarossa | RSSI: -82 | Seq.num: 2008 | Timestamp: 1543478080266 | Hash: 4003504816
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: Telecom-13770659 | RSSI: -84 | Seq.num: 2009 | Timestamp: 1543478080282 | Hash: 3091996478
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: HOSTELTASSO2 | RSSI: -82 | Seq.num: 2010 | Timestamp: 1543478080298 | Hash: 1988742019
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: FASTWEB-1-8iK7n97afsHJ | RSSI: -81 | Seq.num: 2011 | Timestamp: 1543478080313 | Hash: 41619735
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: broadcast | RSSI: -83 | Seq.num: 2012 | Timestamp: 1543478080330 | Hash: 1840440642
ESP 30:ae:a4:3b:a2:d8 -> MAC: c6:e3:6f:d4:bd:92 | SSID: broadcast | RSSI: -92 | Seq.num: 2801 | Timestamp: 1543478080353 | Hash: 3007257627
ESP 30:ae:a4:3b:a2:d8 -> MAC: c6:e3:6f:d4:bd:92 | SSID: broadcast | RSSI: -91 | Seq.num: 2802 | Timestamp: 1543478080443 | Hash: 123873825
ESP 30:ae:a4:3b:a2:d8 -> MAC: 1a:70:e4:7b:a6:14 | SSID: broadcast | RSSI: -92 | Seq.num: 674 | Timestamp: 1543478080882 | Hash: 534956391
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:5a:5f:00 | SSID: broadcast | RSSI: -90 | Seq.num: 350 | Timestamp: 1543478081576 | Hash: 554897438
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:5a:5f:00 | SSID: broadcast | RSSI: -88 | Seq.num: 351 | Timestamp: 1543478081617 | Hash: 2378148540
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:64:e1:79:55:16 | SSID: broadcast | RSSI: -77 | Seq.num: 1984 | Timestamp: 1543478081715 | Hash: 1215222435
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:ff:64:6c | SSID: broadcast | RSSI: -90 | Seq.num: 536 | Timestamp: 1543478083366 | Hash: 1357905261
ESP 30:ae:a4:3b:a2:d8 -> MAC: f0:27:65:1b:fc:89 | SSID: broadcast | RSSI: -93 | Seq.num: 3258 | Timestamp: 1543478084058 | Hash: 3246650102
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:2d:40:14 | SSID: broadcast | RSSI: -91 | Seq.num: 1244 | Timestamp: 1543478084147 | Hash: 1310934653
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:2d:40:14 | SSID: broadcast | RSSI: -89 | Seq.num: 1245 | Timestamp: 1543478084157 | Hash: 1809843274
ESP 30:ae:a4:3b:a2:d8 -> MAC: c6:d7:44:fd:22:0a | SSID: broadcast | RSSI: -93 | Seq.num: 2790 | Timestamp: 1543478085110 | Hash: 909130325
ESP 30:ae:a4:3b:a2:d8 -> MAC: b0:72:bf:84:16:f1 | SSID: polito | RSSI: -90 | Seq.num: 1066 | Timestamp: 1543478085276 | Hash: 157339503
ESP 30:ae:a4:3b:a2:d8 -> MAC: 30:07:4d:7b:de:0f | SSID: eduroam | RSSI: -87 | Seq.num: 3341 | Timestamp: 1543478085910 | Hash: 3473486394
ESP 30:ae:a4:3b:a2:d8 -> MAC: bc:54:36:24:ab:fa | SSID: broadcast | RSSI: -85 | Seq.num: 180 | Timestamp: 1543478085934 | Hash: 4089111168
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: Alice-64704849 | RSSI: -82 | Seq.num: 2206 | Timestamp: 1543478088053 | Hash: 246395609
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: TP-LINK_BA925E | RSSI: -81 | Seq.num: 2207 | Timestamp: 1543478088058 | Hash: 899788911
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: .WiFi Station | RSSI: -80 | Seq.num: 2208 | Timestamp: 1543478088074 | Hash: 3373343267
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: dlink | RSSI: -82 | Seq.num: 2209 | Timestamp: 1543478088090 | Hash: 3564626965
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: Blizzard_HERO | RSSI: -81 | Seq.num: 2210 | Timestamp: 1543478088105 | Hash: 3579304830
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: Vodafone-34933893 | RSSI: -81 | Seq.num: 2211 | Timestamp: 1543478088121 | Hash: 3615262894
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: WiFi Frecciarossa | RSSI: -82 | Seq.num: 2212 | Timestamp: 1543478088137 | Hash: 2299237507
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: Telecom-13770659 | RSSI: -79 | Seq.num: 2213 | Timestamp: 1543478088153 | Hash: 2978000056
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: HOSTELTASSO2 | RSSI: -81 | Seq.num: 2214 | Timestamp: 1543478088169 | Hash: 3525094272
ESP 30:ae:a4:3b:a2:d8 -> MAC: 70:4d:7b:06:e5:1d | SSID: FASTWEB-1-8iK7n97afsHJ | RSSI: -81 | Seq.num: 2215 | Timestamp: 1543478088185 | Hash: 920367021
ESP 30:ae:a4:3b:a2:d8 -> MAC: 8a:78:f4:c1:8b:ec | SSID: broadcast | RSSI: -89 | Seq.num: 19 | Timestamp: 1543478088206 | Hash: 1482027652
ESP 30:ae:a4:3b:a2:d8 -> MAC: 78:88:6d:73:48:aa | SSID: eduroam | RSSI: -94 | Seq.num: 580 | Timestamp: 1543478088555 | Hash: 431655417
ESP 30:ae:a4:3b:a2:d8 -> MAC: 4a:d4:a5:d2:07:99 | SSID: broadcast | RSSI: -90 | Seq.num: 3173 | Timestamp: 1543478089274 | Hash: 256220998
ESP 30:ae:a4:3b:a2:d8 -> MAC: 4a:d4:a5:d2:07:99 | SSID: broadcast | RSSI: -90 | Seq.num: 3174 | Timestamp: 1543478089295 | Hash: 328806093
ESP 30:ae:a4:3b:a2:d8 -> MAC: c0:ee:fb:28:df:18 | SSID: broadcast | RSSI: -72 | Seq.num: 2130 | Timestamp: 1543478089886 | Hash: 793762590
ESP 30:ae:a4:3b:a2:d8 -> MAC: c0:ee:fb:28:df:18 | SSID: broadcast | RSSI: -69 | Seq.num: 2131 | Timestamp: 1543478089893 | Hash: 2974273547
ESP 30:ae:a4:3b:a2:d8 -> MAC: c0:ee:fb:28:df:18 | SSID: broadcast | RSSI: -70 | Seq.num: 2132 | Timestamp: 1543478089906 | Hash: 901868118
ESP 30:ae:a4:3b:a2:d8 -> MAC: c0:ee:fb:28:df:18 | SSID: broadcast | RSSI: -69 | Seq.num: 2133 | Timestamp: 1543478089922 | Hash: 1515813070
ESP 30:ae:a4:3b:a2:d8 -> MAC: c0:ee:fb:4a:e6:ed | SSID: broadcast | RSSI: -75 | Seq.num: 416 | Timestamp: 1543478090189 | Hash: 3211014436
ESP 30:ae:a4:3b:a2:d8 -> MAC: c0:ee:fb:4a:e6:ed | SSID: broadcast | RSSI: -74 | Seq.num: 417 | Timestamp: 1543478090212 | Hash: 335487174
ESP 30:ae:a4:3b:a2:d8 -> MAC: 74:9e:af:45:ea:9b | SSID: broadcast | RSSI: -93 | Seq.num: 1069 | Timestamp: 1543478094332 | Hash: 2532570595
ESP 30:ae:a4:3b:a2:d8 -> MAC: 7a:f8:59:da:1a:e4 | SSID: broadcast | RSSI: -87 | Seq.num: 612 | Timestamp: 1543478096435 | Hash: 4127562228
ESP 30:ae:a4:3b:a2:d8 -> MAC: 78:7b:8a:7e:ed:d1 | SSID: eduroam | RSSI: -70 | Seq.num: 2083 | Timestamp: 1543478097069 | Hash: 4002862442
