timestamp	x_detected	y_detected	inside	x_real	y_real	dimensionality	error_regress	error_interp
1544376009814	0.5198477	1.156622	0	0.5	0	2.047686	1.156793	1.010729
1544376015818	0.65481	0.8801977	0	0.5	0	2.047686	0.8937081	0.7577494
1544376021768	0.6646527	1.027162	0	0.5	0	2.047686	1.040275	0.9129131
1544376027543	0.7165615	0.883005	0	0.5	0	2.047686	0.9091736	0.7993258
1544376027575	0.6639479	0.8794157	0	0.5	0	2.047686	0.8945674	0.7708024
1544376027624	0.792303	0.7121715	0	0.5	0	2.047686	0.7698242	0.6473389
1544376033420	0.6104636	1.022877	0	0.5	0	2.047686	1.028825	0.8743871
1544376174057	0.5347525	0.8704203	0	0.5	0	2.047686	0.8711138	0.676581
1544376174083	0.5347525	0.8704203	0	0.5	0	2.047686	0.8711138	0.676581
1544376180076	0.4434659	1.006124	0	0.5	0	2.047686	1.007711	0.8149737
1544376180102	0.4434659	1.006124	0	0.5	0	2.047686	1.007711	0.8149737
1544376186283	0.4750604	0.8636957	0	0.5	0	2.047686	0.8640557	0.6376333
1544376186309	0.3926431	1.000208	0	0.5	0	2.047686	1.005953	0.8087131
1544376192152	0.4830824	0.8661306	0	0.5	0	2.047686	0.8662958	0.6578203
1544376192178	0.4750604	0.8636957	0	0.5	0	2.047686	0.8640557	0.6376333
1544376209900	0.5347525	0.8704203	0	0.5	0	2.047686	0.8711138	0.676581
1544376209926	0.5347525	0.8704203	0	0.5	0	2.047686	0.8711138	0.676581
1544376227531	0.5347525	0.8704203	0	0.5	0	2.047686	0.8711138	0.676581
1544376227557	0.5347525	0.8704203	0	0.5	0	2.047686	0.8711138	0.676581
1544376239264	0.1742572	1.63244	0	0.5	0	2.047686	1.664623	1.445024
1544376239290	0.5103548	1.597304	0	0.5	0	2.047686	1.597338	1.385436
1544376285775	0.1742572	1.63244	0	0.5	0	2.047686	1.664623	1.445024
1544376285801	0.4099398	1.644208	0	0.5	0	2.047686	1.646673	1.404541
1544376291972	0.4099398	1.644208	0	0.5	0	2.047686	1.646673	1.404541
1544376291998	0.4099398	1.644208	0	0.5	0	2.047686	1.646673	1.404541
1544376639598	0.5886486	-1.974378	0	0.5	-2.3	1.045691	0.3374735	0.3178152
1544376645353	0.6334634	-2.001735	0	0.5	-2.3	1.045691	0.3267634	0.2968081
1544376651306	0.634698	-1.978074	0	0.5	-2.3	1.045691	0.3489699	0.3159251
1544376651333	0.6334634	-2.001735	0	0.5	-2.3	1.045691	0.3267634	0.2968081
1544376657382	0.5946638	-2.047241	0	0.5	-2.3	1.045691	0.269904	0.2409325
1544376663162	0.5495565	-2.018683	0	0.5	-2.3	1.045691	0.2856487	0.2644532
1544376668924	0.5946638	-2.047241	0	0.5	-2.3	1.045691	0.269904	0.2409325
1544376674682	0.5941433	-2.068791	0	0.5	-2.3	1.045691	0.2496413	0.224185
1544376674708	0.5881235	-1.997444	0	0.5	-2.3	1.045691	0.3151282	0.2988867
1544376680440	0.5506974	-2.091917	0	0.5	-2.3	1.045691	0.2141704	0.1849057
1544376686421	0.5495565	-2.018683	0	0.5	-2.3	1.045691	0.2856487	0.2644532
1544376686447	0.5496711	-2.040923	0	0.5	-2.3	1.045691	0.263796	0.2463128
1544376692282	0.6438744	-2.073789	0	0.5	-2.3	1.045691	0.268088	0.2301602
1544376692308	0.5886486	-1.974378	0	0.5	-2.3	1.045691	0.3374735	0.3178152
1544376739519	0.6111948	-1.906206	0	0.5	-2.3	1.045691	0.4091917	0.4127706
1544376739545	0.6379587	-1.86321	0	0.5	-2.3	1.045691	0.4580587	0.4671109
1544376751463	0.5817305	-1.925761	0	0.5	-2.3	1.045691	0.3830596	0.3793544
1544376763063	0.7224986	-1.89018	0	0.5	-2.3	1.045691	0.4663236	0.4314741
1544376769152	0.6796072	-1.86521	0	0.5	-2.3	1.045691	0.4704263	0.4548792
1544376775137	0.6796072	-1.86521	0	0.5	-2.3	1.045691	0.4704263	0.4548792
1544376780959	0.7039611	-1.82143	0	0.5	-2.3	1.045691	0.5202206	0.506146
1544376780991	0.7039611	-1.82143	0	0.5	-2.3	1.045691	0.5202206	0.506146
1544376786775	0.6796072	-1.86521	0	0.5	-2.3	1.045691	0.4704263	0.4548792
1544376792539	0.6796072	-1.86521	0	0.5	-2.3	1.045691	0.4704263	0.4548792
1544376798539	0.6525156	-1.90926	0	0.5	-2.3	1.045691	0.4194505	0.4035847
1544376804300	0.6820498	-1.839196	0	0.5	-2.3	1.045691	0.495462	0.4773956
1544376810496	0.725591	-1.864692	0	0.5	-2.3	1.045691	0.49029	0.4529524
1544376816533	0.7463432	-1.846295	0	0.5	-2.3	1.045691	0.5162689	0.4785132
1544376952435	1.066479	-2.056176	0	0.5	-2.3	1.045691	0.6167243	0.4636279
1544376952461	1.066479	-2.056176	0	0.5	-2.3	1.045691	0.6167243	0.4636279
